label,text
ham,go jurong point crazy available bugis n great world la e buffet cine got amore wat
ham,ok lar joking wif oni
spam,free entry wkly comp win fa cup final tkts 21st may 2005 text fa 87121 receive entry questionstd txt ratetcs apply 08452810075over18s
ham,dun say early hor c already say
ham,nah dont think goes usf lives around though
spam,freemsg hey darling 3 weeks word back id like fun still tb ok xxx std chgs send å£150 rcv
ham,even brother like speak treat like aids patent
ham,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press 9 copy friends callertune
spam,winner valued network customer selected receivea å£900 prize reward claim call 09061701461 claim code kl341 valid 12 hours
spam,mobile 11 months r entitled update latest colour mobiles camera free call mobile update co free 08002986030
ham,im gon na home soon dont want talk stuff anymore tonight k ive cried enough today
spam,six chances win cash 100 20000 pounds txt csh11 send 87575 cost 150pday 6days 16 tsandcs apply reply hl info
spam,urgent 1 week free membership å£100000 prize jackpot txt word claim 81010 tc wwwdbuknet lccltd pobox 4403ldnw1a7rw18
ham,ive searching right words thank breather promise wont take help granted fulfil promise wonderful blessing times
ham,date sunday
spam,xxxmobilemovieclub use credit click wap link next txt message click httpwap xxxmobilemovieclubcomnqjkgighjjgcbl
ham,oh kim watching
ham,eh remember spell name yes v naughty make v wet
ham,fine thatåõs way feel thatåõs way gota b
spam,england v macedonia dont miss goalsteam news txt national team 87077 eg england 87077 trywales scotland 4txtì¼120 poboxox36504w45wq 16
ham,seriously spell name
ham,iû÷m going try months ha ha joking
ham,ì pay first lar da stock comin
ham,aft finish lunch go str lor ard 3 smth lor finish lunch already
ham,ffffffffff alright way meet sooner
ham,forced eat slice im really hungry tho sucks mark getting worried knows im sick turn pizza lol
ham,lol always convincing
ham,catch bus frying egg make tea eating moms left dinner feel love
ham,im back amp packing car ill let know theres room
ham,ahhh work vaguely remember feel like lol
ham,wait thats still clear sure sarcastic thats x doesnt want live us
ham,yeah got v apologetic n fallen actin like spoilt child got caught till wont go badly cheers
ham,k tell anything
ham,fear fainting housework quick cuppa
spam,thanks subscription ringtone uk mobile charged å£5month please confirm replying yes reply charged
ham,yup ok go home look timings msg ì xuhui going learn 2nd may lesson 8am
ham,oops ill let know roommates done
ham,see letter b car
ham,anything lor decide
ham,hello hows saturday go texting see youd decided anything tomo im trying invite anything
ham,please go ahead watts wanted sure great weekend abiola
ham,forget tell want need crave love sweet arabian steed mmmmmm yummy
spam,07732584351 rodger burns msg tried call reply sms free nokia mobile free camcorder please call 08000930705 delivery tomorrow
ham,seeing
ham,great hope like man well endowed ltgt inches
ham,callsmessagesmissed calls
ham,didnt get hep b immunisation nigeria
ham,fair enough anything going
ham,yeah hopefully tyler cant could maybe ask around bit
ham,dont know stubborn didnt even want go hospital kept telling mark im weak sucker hospitals weak suckers
ham,thinked first time saw class
ham,gram usually runs like ltgt half eighth smarter though gets almost whole second gram ltgt
ham,k information x ride early tomorrow morning hes crashing place tonight
ham,wow never realized embarassed accomodations thought liked since best could always seemed happy cave im sorry didnt dont give im sorry offered im sorry room embarassing
spam,sms ac sptv new jersey devils detroit red wings play ice hockey correct incorrect end reply end sptv
ham,know mallika sherawat yesterday find lturlgt
spam,congrats 1 year special cinema pass call 09061209465 c suprman v matrix3 starwars3 etc free bx420ip45we 150pm dont miss
ham,sorry ill call later meeting
ham,tell reached
ham,yesgauti sehwag odi series
ham,gon na pick 1 burger way home cant even move pain killing
ham,ha ha ha good joke girls situation seekers
ham,part checking iq
ham,sorry roommates took forever ok come
ham,ok lar double check wif da hair dresser already said wun cut v short said cut look nice
spam,valued customer pleased advise following recent review mob awarded å£1500 bonus prize call 09066364589
ham,today song dedicated day song dedicate send valuable frnds first rply
spam,urgent awarded complimentary trip eurodisinc trav acoentry41 å£1000 claim txt dis 87121 186å£150morefrmmob shracomorsglsuplt10 ls1 3aj
spam,hear new divorce barbie comes kens stuff
ham,plane give month end
ham,wah lucky man save money hee
ham,finished class
ham,hi babe im home wan na something xx
ham,kkwhere youhow performed
ham,call
ham,waiting machan call free
ham,thats cool gentleman treat dignity respect
ham,like peoples much shy pa
ham,operate ltgt
ham,still looking job much tas earn
ham,sorry ill call later
ham,k call ah
ham,ok way home hi hi
ham,place man
ham,yup next stop
ham,call later dont network urgnt sms
ham,real getting yo need tickets one jacket im done already used multis
ham,yes started send requests make pain came back im back bed double coins factory got ta cash nitros
ham,im really still tonight babe
ham,ela kanoil download come wen free
ham,yeah donû÷t stand close tho youû÷ll catch something
ham,sorry pain ok meet another night spent late afternoon casualty means havent done stuff42moro includes time sheets sorry
ham,smile pleasure smile pain smile trouble pours like rain smile sum1 hurts smile becoz someone still loves see smiling
spam,please call customer service representative 0800 169 6031 10am9pm guaranteed å£1000 cash å£5000 prize
ham,havent planning buy later check already lido got 530 show e afternoon finish work already
spam,free ringtone waiting collected simply text password mix 85069 verify get usher britney fml
ham,watching telugu moviewat abt
ham,see finish loads loans pay
ham,hi wk ok hols yes bit run forgot hairdressers appointment four need get home n shower beforehand cause prob ham
ham,please dont text anymore nothing else say
ham,okay name price long legal wen pick ave x ams xx
ham,im still looking car buy gone 4the driving test yet
ham,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press 9 copy friends callertune
ham,wow youre right didnt mean guess gave boston men changed search location nyc something changed cuz signin page still says boston
ham,umma life vava umma love lot dear
ham,thanks lot wishes birthday thanks making birthday truly memorable
ham,aight ill hit get cash
ham,would ip address test considering computer isnt minecraft server
ham,know grumpy old people mom like better lying always one play jokes
ham,dont worry guess hes busy
ham,plural noun research
ham,going dinnermsg
ham,im ok wif cos like try new things scared dun like mah cos said loud
spam,gent trying contact last weekends draw shows å£1000 prize guaranteed call 09064012160 claim code k52 valid 12hrs 150ppm
ham,wa openin sentence formal anyway im fine juz tt im eatin much n puttin weighthaha anythin special happened
ham,entered cabin pa said happy bday boss felt special askd lunch lunch invited apartment went
spam,winner specially selected receive å£1000 holiday flights inc speak live operator claim 0871277810910pmin 18
ham,goodo yes must speak friday eggpotato ratio tortilla needed
ham,hmmmy uncle informed hes paying school directly please buy food
spam,private 2004 account statement 07742676969 shows 786 unredeemed bonus points claim call 08719180248 identifier code 45239 expires
spam,urgent mobile awarded å£2000 bonus caller prize 5903 final try contact call landline 09064019788 box42wr29c 150ppm
ham,new address applespairsall malarky
spam,todays voda numbers ending 7548 selected receive 350 award match please call 08712300220 quoting claim code 4041 standard rates app
ham,going sao mu today done 12
ham,ìï predict wat time ìll finish buying
ham,good stuff
ham,knowyetunde hasnt sent money yet sent text bother sending dont involve anything shouldnt imposed anything first place apologise
ham,room
ham,hey girl r hope r well del r bak long time c give call sum time lucyxx
ham,kkhow much cost
ham,im home
ham,dear call tmorrowpls accomodate
ham,first answer question
spam,sunshine quiz wkly q win top sony dvd player know country algarve txt ansr 82277 å£150 sptyrone
spam,want get laid tonight want real dogging locations sent direct mob join uks largest dogging network bt txting gravel 69888 nt ec2a 31pmsg150p
ham,haf msn yijuehotmailcom
ham,call meet
ham,check rooms befor activities
spam,youll rcv msgs chat svc free hardcore services text go 69988 get nothing must age verify yr network try
ham,got c lazy type forgot ì lect saw pouch like v nice
ham,k text youre way
ham,sir waiting mail
ham,swt thought nver get tired little things lovable persons cozsomtimes little things occupy biggest part hearts gud ni8
ham,know please open back
ham,yes see ya dot
ham,whats staff name taking class us
spam,freemsg havent replied text im randy sexy female live local luv hear netcollex ltd 08700621170150p per msg reply stop end
ham,ummmawill call check inour life begin qatar please pray hard
ham,ki deleted contact
ham,sindu got job birla soft
ham,wine flowing im nevering
ham,yup thk cine better cos need go plaza mah
ham,ok typical reply
ham,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press 9 copy friends callertune
