label,text
0,go jurong point crazy available bugis n great world la e buffet cine got amore wat
0,ok lar joking wif oni
1,free entry wkly comp win fa cup final tkts 21st may 2005 text fa 87121 receive entry questionstd txt ratetcs apply 08452810075over18s
0,dun say early hor c already say
0,nah dont think goes usf lives around though
1,freemsg hey darling 3 weeks word back id like fun still tb ok xxx std chgs send å£150 rcv
0,even brother like speak treat like aids patent
0,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press 9 copy friends callertune
1,winner valued network customer selected receivea å£900 prize reward claim call 09061701461 claim code kl341 valid 12 hours
1,mobile 11 months r entitled update latest colour mobiles camera free call mobile update co free 08002986030
0,im gon na home soon dont want talk stuff anymore tonight k ive cried enough today
1,six chances win cash 100 20000 pounds txt csh11 send 87575 cost 150pday 6days 16 tsandcs apply reply hl info
1,urgent 1 week free membership å£100000 prize jackpot txt word claim 81010 tc wwwdbuknet lccltd pobox 4403ldnw1a7rw18
0,ive searching right words thank breather promise wont take help granted fulfil promise wonderful blessing times
0,date sunday
1,xxxmobilemovieclub use credit click wap link next txt message click httpwap xxxmobilemovieclubcomnqjkgighjjgcbl
0,oh kim watching
0,eh remember spell name yes v naughty make v wet
0,fine thatåõs way feel thatåõs way gota b
1,england v macedonia dont miss goalsteam news txt national team 87077 eg england 87077 trywales scotland 4txtì¼120 poboxox36504w45wq 16
0,seriously spell name
0,iû÷m going try months ha ha joking
0,ì pay first lar da stock comin
0,aft finish lunch go str lor ard 3 smth lor finish lunch already
0,ffffffffff alright way meet sooner
0,forced eat slice im really hungry tho sucks mark getting worried knows im sick turn pizza lol
0,lol always convincing
0,catch bus frying egg make tea eating moms left dinner feel love
0,im back amp packing car ill let know theres room
0,ahhh work vaguely remember feel like lol
0,wait thats still clear sure sarcastic thats x doesnt want live us
0,yeah got v apologetic n fallen actin like spoilt child got caught till wont go badly cheers
0,k tell anything
0,fear fainting housework quick cuppa
1,thanks subscription ringtone uk mobile charged å£5month please confirm replying yes reply charged
0,yup ok go home look timings msg ì xuhui going learn 2nd may lesson 8am
0,oops ill let know roommates done
0,see letter b car
0,anything lor decide
0,hello hows saturday go texting see youd decided anything tomo im trying invite anything
0,please go ahead watts wanted sure great weekend abiola
0,forget tell want need crave love sweet arabian steed mmmmmm yummy
1,07732584351 rodger burns msg tried call reply sms free nokia mobile free camcorder please call 08000930705 delivery tomorrow
0,seeing
0,great hope like man well endowed ltgt inches
0,callsmessagesmissed calls
0,didnt get hep b immunisation nigeria
0,fair enough anything going
0,yeah hopefully tyler cant could maybe ask around bit
0,dont know stubborn didnt even want go hospital kept telling mark im weak sucker hospitals weak suckers
0,thinked first time saw class
0,gram usually runs like ltgt half eighth smarter though gets almost whole second gram ltgt
0,k information x ride early tomorrow morning hes crashing place tonight
0,wow never realized embarassed accomodations thought liked since best could always seemed happy cave im sorry didnt dont give im sorry offered im sorry room embarassing
1,sms ac sptv new jersey devils detroit red wings play ice hockey correct incorrect end reply end sptv
0,know mallika sherawat yesterday find lturlgt
1,congrats 1 year special cinema pass call 09061209465 c suprman v matrix3 starwars3 etc free bx420ip45we 150pm dont miss
0,sorry ill call later meeting
0,tell reached
0,yesgauti sehwag odi series
0,gon na pick 1 burger way home cant even move pain killing
0,ha ha ha good joke girls situation seekers
0,part checking iq
0,sorry roommates took forever ok come
0,ok lar double check wif da hair dresser already said wun cut v short said cut look nice
1,valued customer pleased advise following recent review mob awarded å£1500 bonus prize call 09066364589
0,today song dedicated day song dedicate send valuable frnds first rply
1,urgent awarded complimentary trip eurodisinc trav acoentry41 å£1000 claim txt dis 87121 186å£150morefrmmob shracomorsglsuplt10 ls1 3aj
1,hear new divorce barbie comes kens stuff
0,plane give month end
0,wah lucky man save money hee
0,finished class
0,hi babe im home wan na something xx
0,kkwhere youhow performed
0,call
0,waiting machan call free
0,thats cool gentleman treat dignity respect
0,like peoples much shy pa
0,operate ltgt
0,still looking job much tas earn
0,sorry ill call later
0,k call ah
0,ok way home hi hi
0,place man
0,yup next stop
